Fecha,Nuevas_JH,Nuevas_abiertos,Nuevas_JH_promedio,Nuevas_abiertos_promedio
19/02/2020,0,0,,
20/02/2020,0,0,,
21/02/2020,0,0,,
22/02/2020,0,0,,
23/02/2020,0,0,,
24/02/2020,0,0,,
25/02/2020,0,0,,
26/02/2020,0,0,,
27/02/2020,0,0,,
28/02/2020,0,0,,
29/02/2020,0,0,,
01/03/2020,0,0,,
02/03/2020,0,0,,
03/03/2020,0,0,,
04/03/2020,0,0,,
05/03/2020,0,0,0,0
06/03/2020,0,0,0,0
07/03/2020,0,0,0,0
08/03/2020,0,0,0,0
09/03/2020,0,0,0,0
10/03/2020,0,0,0,0
11/03/2020,0,0,0,0
12/03/2020,0,0,0,0
13/03/2020,0,0,0,0
14/03/2020,0,0,0,0
15/03/2020,0,0,0,0
16/03/2020,0,0,0,0
17/03/2020,0,0,0,0
18/03/2020,0,3,0,0.43
19/03/2020,1,0,0.14,0.43
20/03/2020,1,1,0.29,0.57
21/03/2020,0,0,0.29,0.57
22/03/2020,0,2,0.29,0.86
23/03/2020,2,1,0.57,1
24/03/2020,1,3,0.71,1.43
25/03/2020,1,2,0.86,1.29
26/03/2020,2,8,1,2.43
27/03/2020,4,9,1.43,3.57
28/03/2020,4,15,2,5.71
29/03/2020,4,9,2.57,6.71
30/03/2020,8,14,3.43,8.57
31/03/2020,1,26,3.43,11.86
01/04/2020,8,22,4.43,14.71
02/04/2020,13,27,6,17.43
03/04/2020,10,34,6.86,21
04/04/2020,19,40,9,24.57
05/04/2020,15,33,10.57,28
06/04/2020,31,58,13.86,34.29
07/04/2020,16,62,16,39.43
08/04/2020,33,50,19.57,43.43
09/04/2020,20,62,20.57,48.43
10/04/2020,39,78,24.71,54.71
11/04/2020,40,82,27.71,60.71
12/04/2020,23,88,28.86,68.57
13/04/2020,36,101,29.57,74.71
14/04/2020,74,114,37.86,82.14
15/04/2020,43,117,39.29,91.71
16/04/2020,37,107,41.71,98.14
17/04/2020,60,143,44.71,107.43
18/04/2020,104,137,53.86,115.29
19/04/2020,36,181,55.71,128.57
20/04/2020,26,212,54.29,144.43
21/04/2020,145,217,64.43,159.14
22/04/2020,113,216,74.43,173.29
23/04/2020,99,231,83.29,191
24/04/2020,152,264,96.43,208.29
25/04/2020,84,291,93.57,230.29
26/04/2020,46,309,95,248.57
27/04/2020,83,284,103.14,258.86
28/04/2020,135,326,101.71,274.43
29/04/2020,163,385,108.86,298.57
30/04/2020,127,352,112.86,315.86
01/05/2020,113,411,107.29,336.86
02/05/2020,89,357,108,346.29
03/05/2020,93,370,114.71,355
04/05/2020,116,460,119.43,380.14
05/05/2020,237,450,134,397.86
06/05/2020,197,415,138.86,402.14
07/05/2020,257,407,157.43,410
08/05/2020,199,441,169.71,414.29
09/05/2020,193,418,184.57,423
10/05/2020,112,456,187.29,435.29
11/05/2020,108,461,186.14,435.43
12/05/2020,353,487,202.71,440.71
13/05/2020,294,494,216.57,452
14/05/2020,257,548,216.57,472.14
15/05/2020,290,556,229.57,488.57
16/05/2020,278,533,241.71,505
17/05/2020,132,584,244.57,523.29
18/05/2020,155,592,251.29,542
19/05/2020,334,580,248.57,555.29
20/05/2020,424,569,267.14,566
21/05/2020,420,575,290.43,569.86
22/05/2020,479,559,317.43,570.29
23/05/2020,190,538,304.86,571
24/05/2020,215,606,316.71,574.14
25/05/2020,239,628,328.71,579.29
26/05/2020,501,615,352.57,584.29
27/05/2020,463,596,358.14,588.14
28/05/2020,447,626,362,595.43
29/05/2020,371,577,346.57,598
30/05/2020,364,611,371.43,608.43
31/05/2020,151,632,362.29,612.14
01/06/2020,237,691,362,621.14
02/06/2020,470,650,357.57,626.14
03/06/2020,1091,676,447.29,637.57
04/06/2020,817,655,500.14,641.71
05/06/2020,625,596,536.43,644.43
06/06/2020,341,667,533.14,652.43
07/06/2020,188,687,538.43,660.29
08/06/2020,354,738,555.14,667
09/06/2020,596,690,573.14,672.71
10/06/2020,708,706,518.43,677
11/06/2020,587,673,485.57,679.57
12/06/2020,504,734,468.29,699.29
13/06/2020,424,697,480.14,703.57
14/06/2020,269,719,491.71,708.14
15/06/2020,439,713,503.86,704.57
16/06/2020,730,776,523,716.86
17/06/2020,770,755,531.86,723.86
18/06/2020,667,677,543.29,724.43
19/06/2020,647,651,563.71,712.57
20/06/2020,387,617,558.43,701.14
21/06/2020,1044,693,669.14,697.43
22/06/2020,759,669,714.86,691.14
23/06/2020,793,642,723.86,672
24/06/2020,947,647,749.14,656.57
25/06/2020,736,626,759,649.29
26/06/2020,719,670,769.29,652
27/06/2020,602,701,800,664
28/06/2020,267,692,689,663.86
29/06/2020,473,758,648.14,676.57
30/06/2020,648,717,627.43,687.29
01/07/2020,741,694,598,694
02/07/2020,679,703,589.86,705
03/07/2020,654,704,580.57,709.86
04/07/2020,523,739,569.29,715.29
05/07/2020,273,753,570.14,724
06/07/2020,480,825,571.14,733.57
07/07/2020,895,825,606.43,749
08/07/2020,782,738,612.29,755.29
09/07/2020,730,763,619.57,763.86
10/07/2020,665,729,621.14,767.43
11/07/2020,539,740,623.43,767.57
12/07/2020,276,758,623.86,768.29
13/07/2020,485,830,624.57,769
14/07/2020,836,806,616.14,766.29
15/07/2020,579,802,587.14,775.43
16/07/2020,668,816,578.29,783
17/07/2020,736,767,588.43,788.43
18/07/2020,578,747,594,789.43
19/07/2020,296,804,596.86,796
20/07/2020,301,802,570.57,792
21/07/2020,915,839,581.86,796.71
22/07/2020,790,752,612,789.57
23/07/2020,718,784,619.14,785
24/07/2020,737,733,619.29,780.14
25/07/2020,729,777,640.86,784.43
26/07/2020,306,784,642.29,781.57
27/07/2020,342,808,648.14,782.43
28/07/2020,854,779,639.43,773.86
29/07/2020,485,684,595.86,764.14
30/07/2020,639,748,584.57,759
31/07/2020,688,675,577.57,750.71
01/08/2020,784,735,585.43,744.71
02/08/2020,274,696,580.86,732.14
03/08/2020,266,757,570,724.86
04/08/2020,857,777,570.43,724.57
05/08/2020,829,718,619.57,729.43
06/08/2020,819,694,645.29,721.71
07/08/2020,794,644,660.43,717.29
08/08/2020,695,684,647.71,710
09/08/2020,292,654,650.29,704
10/08/2020,705,673,713,692
11/08/2020,926,699,722.86,680.86
12/08/2020,737,617,709.71,666.43
13/08/2020,627,615,682.29,655.14
14/08/2020,615,580,656.71,646
15/08/2020,635,586,648.14,632
16/08/2020,214,576,637,620.86
17/08/2020,266,625,574.29,614
18/08/2020,751,566,549.29,595
19/08/2020,707,586,545,590.57
20/08/2020,625,564,544.71,583.29
21/08/2020,504,557,528.86,580
22/08/2020,644,569,530.14,577.57
23/08/2020,226,524,531.86,570.14
24/08/2020,320,541,539.57,558.14
25/08/2020,0,545,432.29,555.14
26/08/2020,1276,521,513.57,545.86
27/08/2020,518,491,498.29,535.43
28/08/2020,552,531,505.14,531.71
29/08/2020,673,515,509.29,524
30/08/2020,339,525,525.43,524.14
31/08/2020,256,547,516.29,525
01/09/2020,827,505,634.43,519.29
02/09/2020,575,490,534.29,514.86
03/09/2020,513,490,533.57,514.71
04/09/2020,522,479,529.29,507.29
05/09/2020,475,462,501,499.71
06/09/2020,232,460,485.71,490.43
07/09/2020,223,491,481,482.43
08/09/2020,703,428,463.29,471.43
09/09/2020,611,482,468.43,470.29
10/09/2020,0,437,395.14,462.71
11/09/2020,1088,439,476,457
12/09/2020,421,466,468.29,457.57
13/09/2020,217,402,466.14,449.29
14/09/2020,228,452,466.86,443.71
15/09/2020,629,441,456.29,445.57
16/09/2020,300,420,411.86,436.71
17/09/2020,201,399,440.57,431.29
18/09/2020,624,371,374.29,421.57
19/09/2020,455,401,379.14,412.29
20/09/2020,235,423,381.71,415.29
21/09/2020,204,408,378.29,409
22/09/2020,651,430,381.43,407.43
23/09/2020,601,396,424.43,404
24/09/2020,490,409,465.71,405.43
25/09/2020,405,368,434.43,405
26/09/2020,399,386,426.43,402.86
27/09/2020,187,365,419.57,394.57
28/09/2020,173,377,415.14,390.14
29/09/2020,560,374,402.14,382.14
30/09/2020,483,355,385.29,376.29
01/10/2020,432,364,377,369.86
02/10/2020,414,367,378.29,369.71
03/10/2020,0,364,321.29,366.57
04/10/2020,596,346,379.71,363.86
05/10/2020,180,374,380.71,363.43
06/10/2020,446,362,364.43,361.71
07/10/2020,3012,354,725.71,361.57
08/10/2020,370,355,716.86,360.29
09/10/2020,411,326,716.43,354.43
10/10/2020,135,383,735.71,357.14
11/10/2020,139,360,670.43,359.14
12/10/2020,164,420,668.14,365.71
13/10/2020,475,384,672.29,368.86
14/10/2020,478,371,310.29,371.29
15/10/2020,387,394,312.71,376.86
16/10/2020,419,369,313.86,383
17/10/2020,355,396,345.29,384.86
18/10/2020,108,400,340.86,390.57
19/10/2020,171,472,341.86,398
20/10/2020,555,436,353.29,405.43
21/10/2020,522,474,359.57,420.14
22/10/2020,479,461,372.71,429.71
23/10/2020,418,455,372.57,442
24/10/2020,431,445,383.43,449
25/10/2020,181,486,393.86,461.29
26/10/2020,247,497,404.71,464.86
27/10/2020,643,463,417.29,468.71
28/10/2020,495,479,413.43,469.43
29/10/2020,464,492,411.29,473.86
